poiID,latitude,longitude,bitmap
0,28.5893,77.2106,100
1,28.5935,77.2194,100
2,28.5909,77.2183,100
3,28.59145,77.21948,100
4,28.5932,77.2203,100
5,28.5938,77.2203,100
6,28.5927,77.2211,100
7,28.594540000000002,77.2224,100
8,28.5962,77.2215,100
9,28.5965,77.2229,100
10,28.627190000000002,77.21969,100
11,28.60929,77.2436,100
12,28.609679999999997,77.24471,100
13,28.60867,77.24501,100
14,28.60691,77.24551,100
15,28.611829999999998,77.24136,100
16,28.60916,77.24424,100
17,28.60843,77.24484,100
18,28.625840000000004,77.22498,100
19,27.213359999999998,77.9754,100
20,28.8542,77.1265,100
21,28.61288,77.22955,100
22,28.626959999999997,77.21692,100
23,28.61325,77.21846,100
24,28.533309999999997,77.13709140000002,100
25,28.6014,77.2374,100
26,28.60884,77.23375,100
27,28.59285,77.22402,100
28,28.5832,77.14711,100
29,28.611520000000002,77.2202,100
30,28.62192000000001,77.21299,100
31,28.58512,77.181,100
32,28.602859999999996,77.19893,100
33,28.618658,77.207172,100
34,28.6100846,77.1916382,100
35,28.61794,77.20218,100
36,28.628659999999996,77.20676,100
37,28.62841,77.20466,100
38,28.62635,77.20905,100
39,28.61862,77.20466,100
40,28.63,77.215,100
42,28.63092,77.19872,100
43,28.5675,77.1665,100
44,28.617189,77.208084,100
45,28.5936,77.2195,100000
46,28.61386,77.20906,100000
47,28.59161,77.19363,100000
49,28.54122000000001,77.1551,1000
50,28.54263,77.15604,1000
51,28.54263,77.15604,1000
52,28.6303,77.2172,1000
53,28.629,77.2189,1000
54,28.6313,77.2185,1000
56,28.600109999999997,77.22695,1000
57,28.6258,77.2197,1000
59,28.5768,77.1966,1000
60,28.6247,77.2028,1000
61,28.573,77.2078,1000
62,28.6341,77.2188,1000
67,28.634056,77.220939,1000000
68,28.631803,77.216399,1000000
70,28.558926,77.164105,1000000
71,28.59122,77.2278,1000000
73,28.6298,77.2212,1000000
80,28.53672700000001,77.149107,10000
81,28.602390000000003,77.18982,10000
91,28.596220000000002,77.23987,10000
92,28.5971,77.19598,10000
93,28.600640000000002,77.21634,10000
95,28.53888,77.15183,10000
96,28.569159999999997,77.18528,10000
97,28.62527,77.21816,10000
98,28.596909999999998,77.17381999999998,10000
99,28.552840000000003,77.12179,10000
100,28.631259999999997,77.22731999999998,10000
101,28.61869,77.21786,10000
105,28.543590000000002,77.11983000000002,10000
106,28.59654,77.19740999999998,10000
107,28.620790000000003,77.21838000000002,10000
108,28.604809999999997,77.22354,10000
109,28.5955,77.17067,10000
